Medical Term,Meaning,llama_explanation
PEM (Protein,"Energy Malnutrition): A condition resulting from insufficient intake of protein and calories, leading to poor growth and development.","

When your body doesn't get enough protein, it can't work properly. Protein is essential for building and repairing muscles, organs, and tissues. Without it, your body starts to break down its own muscles to get the protein it needs, causing weakness, fatigue, and poor health."
P'O (By Mouth),Refers to taking medication or food orally.,"This means taking medicine or eating food by putting it directly into your mouth, where you chew and swallow it like you normally would with food. It's the usual way to take medicine or eat, rather than through an injection or other method."
PPF (Procaine Penicillin Fortified),A form of penicillin used to treat bacterial infections.,"It's a type of medicine that combines two powerful antibiotics to fight serious infections. One part helps kill bacteria quickly, while the other part works slowly to make sure the infection is fully gone. This combo makes it strong and effective against many types of infections."
RBC (Red Blood Cells),Cells in the blood that carry oxygen from the lungs to the rest of the body.,"These are tiny things in your blood that carry oxygen from your lungs to the rest of your body. They're like tiny trucks that deliver oxygen to all your organs and tissues, keeping you alive and healthy. Without them, your body wouldn't get the oxygen it needs."
RH (Rhesus Factor),A protein found on red blood cells that determines a person's blood type.,"Some people have a special protein in their blood, while others don't. If a mom doesn't have it and her baby does, her body might get confused and fight the baby's blood. This can cause problems for the baby."
TB (Tuberculosis),"A bacterial infection primarily affecting the lungs, but can spread to other parts of the body.","It's a serious infection that affects the lungs and sometimes other parts of the body. It's caused by tiny germs that spread through the air when an infected person coughs or sneezes. If left untreated, it can make you very sick and even be life-threatening."
TTC (Tetracycline),A class of antibiotics used to treat a variety of bacterial infections.,"This medicine helps fight bad germs that can make you sick. It works by stopping the germs from growing and multiplying, so your body can get better. It's often used to treat things like acne, infections, and even some diseases that are spread by ticks or mosquitoes."
VIT A (Vitamin A): A fat,"soluble vitamin important for vision, immune function, and skin health.","Vitamin A is a helpful substance that our body needs to stay healthy. It helps us see well, especially in the dark, and keeps our skin and insides strong. We can get it from food like carrots, sweet potatoes, and milk, which our body can easily absorb because it can dissolve in fat."
Asphyxia (Failure to Breathe at Birth),"A lack of oxygen during birth, leading to breathing difficulties or brain damage.","When a baby is born, they need to breathe air right away. Sometimes, this doesn't happen, and the baby's brain and body don't get the oxygen they need. This can cause serious damage or even death if not treated quickly. It's a very serious and scary situation."
Cord,"Refers to the umbilical cord, the structure that connects a fetus to the placenta during pregnancy.","This refers to the soft, flexible tube that connects a baby to its mother's womb during pregnancy. It carries vital nutrients and oxygen from the mother to the baby, and also removes waste products from the baby's body."
